priceUSD,Predictive value
-0.7390023876,-0.7943468596665888
-0.7377696145999999,-0.7959107005898167
-0.7380311118999999,-0.7906284143994354
-0.7388156038,-0.78555795937452
-0.7402351604999999,-0.7942652810414815
-0.7402351604999999,-0.7945377799487712
-0.7402351604999999,-0.8049848718683419
-0.7401978037000001,-0.7932276198165614
-0.7410943659,-0.7969925843311347
-0.7409822956000001,-0.7955661461276118
-0.7400857335,-0.7644816418487336
-0.7412811497,-0.777162144915708
-0.7428874902,-0.8141400072137794
-0.7424765659,-0.8223543786528464
-0.7429622037000001,-0.8242402019377472
-0.7424018523999999,-0.817479411066361
-0.7428874902,-0.8126558988482582
-0.7414305767,-0.8043282367565336
-0.73862882,-0.8009732907191052
-0.7391518145999999,-0.7874627193432641
-0.7397868794,-0.815881239972838
-0.7390771011,-0.8086476120386391
-0.7383299659,-0.8012285427813143
-0.7333241606,-0.7602690535377368
-0.7274217931999999,-0.7462409888621042
-0.7311574688,-0.7582144751996364
-0.7313442526,-0.7681291879485265
-0.7327264525,-0.7863783350813757
-0.7310827553,-0.7647840387279322
-0.7308586147,-0.765780385656077
-0.7302235498999999,-0.7662466271718319
-0.7332868039,-0.7567693831645181
-0.7328758795999999,-0.7718181945234988
-0.7330253066,-0.787168811073439
-0.7328758795999999,-0.7871040015468069
-0.7326890958,-0.7816630499431396
-0.7335856579000001,-0.7774941608959891
-0.731120112,-0.7866948347619825
-0.7313442526,-0.7847046264837365
-0.7307839012,-0.7684447809232662
-0.7299994093000001,-0.7837988811367393
-0.7288413498999999,-0.78105344094077
-0.729588485,-0.7833029175220936
-0.7295137715000001,-0.7790275541653271
-0.7299246958,-0.7816184113777997
-0.7301114795999999,-0.782763129293989
-0.7300741228000001,-0.784974447967228
-0.7302235498999999,-0.7883680052499887
-0.7301488364000001,-0.789216384990123
-0.7304103337000001,-0.7857551015958473
-0.7301488364000001,-0.7852715032106501
-0.7294764148,-0.7866096971568575
-0.7294764148,-0.7871563989563213
-0.7292149175,-0.7875411749229133
-0.7280195012999999,-0.782167985158861
-0.7268614418000001,-0.7865358795432924
-0.7271976526,-0.7835228134999912
-0.7268987986,-0.7844530704632953
-0.7264878743000001,-0.7846943553448336
-0.7268614418000001,-0.785024506879987
-0.7283183553,-0.7783114411887125
-0.7274217931999999,-0.7872127576878409
-0.7271976526,-0.7816352504623233
-0.7270855824,-0.7728581481145662
-0.7274217931999999,-0.7636348002416307
-0.7208843609000001,-0.7483309579086141
-0.7213326419,-0.764452052107429
-0.7214073554000001,-0.7665278678854803
-0.7221171338,-0.7733200836554415
-0.7217062095000001,-0.7751879327766611
-0.7218929933,-0.766827708426951
-0.7234993338,-0.7719492094768399
-0.7221918473000001,-0.7761359417232179
-0.7225280581,-0.7811251754297951
-0.72054815,-0.7649465002749787
-0.7208096473000001,-0.7745745025786044
-0.7190912366,-0.770523302733155
-0.7153929176999999,-0.7281316364320842
-0.7118813826,-0.7275395133356803
-0.7103871124,-0.7228594086266784
-0.7047462422,-0.6643590902957092
-0.6984703072,-0.6890564108960614
-0.6966771829,-0.7191143669689476
