datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2018-02-10,2.527024083,1.6568803819,1.5165672218,1.9186351381,1.3777971299,2.0792236176
2018-02-11,2.4404311224,1.3673791047,1.2376242606,1.5459765953,1.0545588417,2.0302004667
2018-02-12,2.2843545955,1.6901253416,1.5482215962,1.885745035,0.8774579068,2.0529934678
2018-02-13,2.4777878785,1.3025617207,1.7164724695,1.5187421025,0.7592837659,1.9518059915
2018-02-14,2.3843586315,1.4309619983,1.4206825247,1.5746984596,1.296120975,1.9782409084
2018-02-15,2.6811580586,1.5143962942,1.7872830485,1.6727390351,1.3556377016,1.9509304931
2018-02-16,2.7224746308,1.1373723012,0.8577384304,1.3068396364,0.9692124098,1.7798778562
2018-02-17,2.7596819599,1.1734512792,0.7735142406,1.3294860677,1.0830100137,1.7907883825
2018-02-18,2.8665222822,1.1500822429,0.9201590477,1.2039231211,1.1132817833,1.6223108611
2018-02-19,2.6734625668,1.4268072079,1.1412260994,1.4335960787,0.8232570045,1.6168339574
2018-02-20,2.7552738626,1.5738243975,1.5890663854,1.6288735693,1.0972392349,1.5056750586
2018-02-21,2.5706194173,1.3966219261,1.3324347444,1.5921091032,1.0873864575,1.3260557099
2018-02-22,2.402962296,1.249525092,2.8850045342,1.3700469298,0.8096759727,1.3607489493
2018-02-23,2.2622393959,1.158318816,1.4103769415,1.2006844895,0.9439945416,1.4277439365
2018-02-24,2.4490231763,0.9354667474,0.9867815281,0.9529591593,0.6467095566,1.4970249256
2018-02-25,2.3663526751,0.9354335621,0.5063096681,0.8977944677,0.4430871974,1.5617819295
2018-02-26,2.3880943071,1.3893145393,1.3532110164,1.3888909677,0.7325656664,1.6194098961
2018-02-27,2.4817850514,1.2837921567,1.2316080536,1.1644358054,0.739483695,1.4966262571
2018-02-28,2.5100641157,1.441780382,1.353071745,1.2953304992,0.6739446977,1.4435860346
2018-03-01,2.4281781064,1.2413416152,1.3677601364,1.0886758158,0.604429598,1.4529189966
2018-03-02,2.4870149972,1.2941791325,1.2913217173,1.1283130681,0.6232902883,1.3523794383
2018-03-03,2.4307930793,1.0141887412,0.5883748391,0.8465401239,0.4812527285,1.2774387332
2018-03-04,2.428850528,0.8784545286,0.6391639447,0.7722675059,0.480211375,1.1873665761
2018-03-05,2.46867283,1.3370876301,1.2678332498,1.2045348626,0.626254119,1.2106657839
2018-03-06,2.4199969768,1.3568461139,1.6276486169,1.2481724247,0.6587177457,1.1799075651
2018-03-07,2.2797223577,2.035537088,1.6039039507,1.8728264933,0.8279175555,1.223570236
2018-03-08,2.0417598215,1.2516555835,1.1483191591,1.1216318911,0.6212659314,1.2259376623
2018-03-09,1.8535938411,1.1682146505,1.1535785938,1.111784052,0.8698625137,1.1912843455
2018-03-10,1.9580433311,1.0297260641,0.4792361803,0.8916470652,0.3600711342,1.3081056481
2018-03-11,1.7904982801,0.8586495855,0.3770231051,0.6437837933,0.3817136141,1.2855783654
2018-03-12,1.9365631964,1.134551557,0.8385488275,0.9662855286,0.5290451868,1.219669349
2018-03-13,1.8384643549,1.1829621651,1.8853857132,1.002048418,0.2821525019,1.2421079052
2018-03-14,1.812576123,1.3338753002,1.2395359673,1.1602075919,0.5622225303,1.2055502086
2018-03-15,1.52724522,1.1812099851,0.9792317016,1.0712291874,0.5330212892,1.1770748517
2018-03-16,1.5158140527,1.0580728844,0.6220004613,0.9518496281,0.2758826627,1.1552509945
2018-03-17,1.478083729,0.871923676,0.3689246883,0.7481217081,0.1669860009,1.1150537682
2018-03-18,1.2911505216,1.1163328677,1.6552444633,0.9861971155,1.1993634638,1.0353497445
2018-03-19,1.2724347868,1.3699011819,1.1191187727,1.1818944287,0.7342478457,0.8885195518
2018-03-20,1.3101277537,1.1223924901,0.8437013281,0.8799460091,0.5790587705,0.8577036887
2018-03-21,1.3190186616,1.204798044,0.7326114229,1.0140853321,0.5408932394,0.7899634911
2018-03-22,1.3302256885,1.0913311182,0.5704195913,0.9324718157,0.3531531056,0.8007023516
2018-03-23,1.2471442629,1.4654016261,0.8915184983,1.2645095218,0.4062323996,0.7645609311
2018-03-24,1.2572679438,1.2124040979,0.243406855,1.0798715358,0.1904343511,0.7363413364
2018-03-25,1.1830400695,0.6564851869,0.0579834619,0.5695351652,0.0820474604,0.7276369867
2018-03-26,1.1889797937,1.0490995993,0.7954512588,0.9316141781,0.4372032519,0.7611207775
2018-03-27,1.0593518501,0.9034363669,1.4649285738,0.8291474727,0.4219544885,0.694854991
2018-03-28,0.9125397987,0.8191525292,0.9832766646,0.7890364206,0.3463953067,0.6198569212
2018-03-29,0.9042839556,0.9606476971,1.1082142364,0.8818112211,0.6784960053,0.5764424656
2018-03-30,0.6719996463,1.0800614154,0.689784299,1.0011248082,0.611427788,0.4981611651
2018-03-31,0.7059942944,0.7853367836,0.1946112407,0.704742037,0.2078458897,0.6148742247
2018-04-01,0.7143995645,0.6743056534,0.0447709926,0.5904843137,0.1590630644,0.595402286
2018-04-02,0.6488384576,0.8783616099,0.1000346913,0.754479022,0.0464305982,0.5536005925
2018-04-03,0.6772669489,1.0352879081,0.2570992263,0.9025564557,0.2365956166,0.5222745293
2018-04-04,0.7862366064,0.9111154283,0.3862482854,0.7875790364,0.1814919657,0.566379308
2018-04-05,0.6497723765,1.20788427,0.0435597762,0.9047635232,0.1253833135,0.5537942846
2018-04-06,0.6601575547,1.0356662196,0.0799035251,0.8621695201,-0.0519900306,0.5762793476
2018-04-07,0.6140219609,0.7740670807,-0.1947066171,0.5596033616,-0.0633726806,0.5665347419
2018-04-08,0.6714019382,0.9034230928,-0.0017423128,0.6711142456,-0.0655478529,0.562630533
2018-04-09,0.7278853534,1.0592210933,0.4901285549,0.8336755595,0.3203326671,0.6014149898
2018-04-10,0.7224686238,0.8863260643,0.0639617412,0.7188840617,0.1146931282,0.6638297796
2018-04-11,0.78078252,0.9444798548,0.2794682326,0.7186501605,0.2916775494,0.7261690341
2018-04-12,0.8373406487,1.1896854919,0.7192322638,0.9800617079,1.0783785446,0.7662376962
2018-04-13,1.072688212,1.2209459751,0.9233382915,1.1602015944,1.005477275,0.785289989
2018-04-14,1.0705215202,0.8902020987,0.0204716443,0.6878591704,0.3499635177,0.7898193337
2018-04-15,1.108998979,0.9306150673,0.1697284248,0.7312388415,0.5007105286,0.8002554792
2018-04-16,1.21804335,1.0480841313,0.4124090712,0.9132259476,0.5246613794,0.8319737401
2018-04-17,1.1398556595,1.181621482,0.4183085102,1.0510357196,0.5256662874,0.815602598
